2018-02-02 09:09:20 status installed bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1
2018-02-02 09:09:20 trigproc mime-support:all 3.59ubuntu1 <none>
2018-02-02 09:09:20 status half-configured mime-support:all 3.59ubuntu1
2018-02-02 09:09:21 status installed mime-support:all 3.59ubuntu1
2018-02-02 09:09:21 trigproc systemd:amd64 229-4ubuntu17 <none>
2018-02-02 09:09:21 status half-configured systemd:amd64 229-4ubuntu17
2018-02-02 09:09:21 status installed systemd:amd64 229-4ubuntu17
2018-02-02 09:09:21 trigproc ureadahead:amd64 0.100.0-19 <none>
2018-02-02 09:09:21 status half-configured ureadahead:amd64 0.100.0-19
2018-02-02 09:09:21 status installed ureadahead:amd64 0.100.0-19
2018-02-02 09:09:21 startup packages configure
2018-02-02 09:09:21 configure google-chrome-stable:amd64 64.0.3282.140-1 <none>
2018-02-02 09:09:21 status unpacked google-chrome-stable:amd64 64.0.3282.140-1
2018-02-02 09:09:21 status half-configured google-chrome-stable:amd64 64.0.3282.140-1
2018-02-02 09:09:21 status installed google-chrome-stable:amd64 64.0.3282.140-1
2018-02-02 09:09:21 configure php7.2-common:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1 <none>
2018-02-02 09:09:21 status unpacked php7.2-common:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:21 status half-configured php7.2-common:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:30 status installed php7.2-common:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:30 configure php7.2-json:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1 <none>
2018-02-02 09:09:30 status unpacked php7.2-json:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:30 status half-configured php7.2-json:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:30 status installed php7.2-json:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:30 configure php7.2-opcache:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1 <none>
2018-02-02 09:09:30 status unpacked php7.2-opcache:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:30 status half-configured php7.2-opcache:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:31 status installed php7.2-opcache:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:31 configure php7.2-readline:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1 <none>
2018-02-02 09:09:31 status unpacked php7.2-readline:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:31 status half-configured php7.2-readline:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:31 status installed php7.2-readline:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:31 configure php7.2-cli:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1 <none>
